Price,Bedrooms,Bathrooms,Garages,Type,Latitude,Longitude,Remoteness
1950000,6,4,2,Detached,52.084007,1.302869,11.463
1950000,7,7,2,Detached,52.050346,1.426357,19.308
1200000,4,2,1,Bungalow,52.09506,1.313849,12.6
1200000,4,3,0,Detached,52.09429,1.313588,12.551
1100000,5,3,1,Unknown,52.111416,1.329379,14.339
850000,5,3,1,Detached,52.096695,1.315519,12.776
800000,5,2,1,Detached,52.096245,1.303306,11.994
795000,2,2,0,Detached,52.092915,1.315603,12.621
795000,4,2,1,Detached,52.100895,1.3223464,13.392
795000,0,6,0,Detached,52.108337,1.359533,16.049
750000,4,2,0,Detached,52.093918,1.311239,12.387
750000,5,1,2,Detached,52.040043,1.3068,11.2
695000,4,3,1,Detached,52.091938,1.318028,12.736
695000,5,2,1,Detached,52.072357,1.278845,9.52
635000,5,4,2,Detached,52.119614,1.333994,15.058
635000,5,4,2,Detached,52.070942,1.275326,9.248
625000,5,2,2,Detached,52.104603,1.320575,13.459
610000,6,1,2,Detached,52.0756,1.284455,9.984
600000,4,1,1,Bungalow,52.011887,1.418081,19.248
595000,5,3,1,Detached,52.084633,1.298199,11.184
595000,3,2,1,Detached,52.09347,1.532541,26.973
585000,5,2,0,Detached,52.066536,1.362828,15.06
585000,4,3,1,Detached,52.0756,1.284455,9.984
585000,4,3,1,Detached,52.0756,1.284455,9.984
575000,3,1,0,Bungalow,52.040165,1.313853,11.678
575000,3,1,0,Bungalow,52.040165,1.313853,11.678
560000,4,1,1,Detached,52.097607,1.305802,12.212
550000,4,1,0,Semi,52.08794,1.305992,11.81
550000,5,1,1,Detached,52.10246,1.328609,13.853
549950,2,1,0,Flat,52.09774,1.323774,13.341
525000,4,2,1,Detached,52.088863,1.30387,11.71
525000,5,3,2,Detached,52.075542,1.283312,9.907
525000,3,2,0,Bungalow,52.144012,1.5221,27.821
500000,5,3,2,Detached,52.051144,1.380506,16.172
495000,4,2,0,Terraced,52.094242,1.535654,27.197
485000,4,2,0,Detached,52.022106,1.415843,18.87
475000,4,3,1,Detached,52.05432,1.319644,12.016
450000,4,2,2,Detached,52.08673,1.292689,10.912
450000,3,1,0,Detached,52.093918,1.311239,12.387
450000,3,1,0,Semi,52.091717,1.318566,12.762
450000,3,1,0,Semi,52.091717,1.318566,12.762
450000,4,2,1,Bungalow,52.12459,1.522671,27.135
435000,3,1,0,Detached,52.094486,1.311149,12.405
429995,5,2,1,Bungalow,52.011826,1.417596,19.217
425000,4,1,0,Detached,52.107166,1.357356,15.861
420000,2,2,0,Bungalow,52.093594,1.532011,26.939
410000,5,3,2,Detached,52.12936,1.411069,20.22
410000,5,3,2,Detached,52.12936,1.411069,20.22
400000,5,2,1,Detached,52.104603,1.320575,13.459
400000,5,2,1,Detached,52.104603,1.320575,13.459
400000,3,2,1,Semi,52.05256,1.32726,12.532
395000,2,1,1,Bungalow,51.990128,1.394991,18.46
395000,2,1,0,Bungalow,52.093594,1.532011,26.939
389995,3,1,0,Bungalow,52.076973,1.283315,9.952
380000,3,1,2,Bungalow,52.085552,1.293566,10.922
375000,3,1,0,Semi,52.093536,1.303748,11.899
375000,3,1,1,Bungalow,52.102097,1.313977,12.932
375000,3,2,1,Detached,52.11883,1.335222,15.087
375000,3,1,1,Bungalow,52.073574,1.277431,9.461
372950,2,1,0,Flat,52.09774,1.323774,13.341
368000,3,2,1,Detached,52.102097,1.313977,12.932
365000,4,1,0,Detached,52.02656,1.41627,18.82
365000,3,2,1,Detached,52.118153,1.334426,15.002
365000,3,1,1,Detached,52.088863,1.30387,11.71
360000,3,1,0,Bungalow,52.093918,1.311239,12.387
360000,4,2,0,Bungalow,52.123383,1.4556407,22.763
355000,3,1,0,Bungalow,52.094105,1.536636,27.26
350000,3,2,1,Bungalow,52.099464,1.302755,12.114
350000,3,1,1,Terraced,52.117867,1.333718,14.944
345000,2,1,0,Bungalow,52.091053,1.31234,12.338
345000,2,2,0,Bungalow,52.091053,1.31234,12.338
345000,3,1,0,Semi,52.1117,1.481683,24.042
340000,3,1,1,Detached,52.096695,1.315519,12.776
337500,2,1,0,Bungalow,52.100895,1.3223464,13.392
335000,3,3,1,Semi,52.118153,1.334426,15.002
330000,3,1,0,Semi,52.10066,1.313359,12.824
330000,5,1,2,Detached,52.131874,1.412752,20.445
329500,2,1,1,Unknown,52.10621,1.515406,26.113
325000,2,2,3,Bungalow,52.06157,1.440101,20.279
325000,4,3,2,Detached,52.12898,1.416798,20.556
325000,4,3,1,Detached,52.131245,1.413405,20.454
325000,3,1,1,Bungalow,52.117867,1.333718,14.944
325000,4,1,1,Bungalow,52.099674,1.298039,11.837
325000,4,1,1,Semi,52.09647,1.313925,12.666
320000,3,1,0,Bungalow,52.095882,1.318452,12.925
319995,3,1,1,Detached,52.07524,1.281903,9.805
315000,2,1,1,Bungalow,52.07189,1.276476,9.35
315000,3,1,1,Detached,52.118153,1.334426,15.002
315000,3,1,1,Detached,52.118153,1.334426,15.002
315000,3,1,1,Detached,52.091206,1.314615,12.489
310000,3,1,1,Bungalow,52.096004,1.532902,27.047
310000,4,2,0,Semi,52.09589,1.532002,26.984
300000,2,3,2,Bungalow,52.047527,1.427527,19.392
295000,3,1,0,Bungalow,52.12459,1.522671,27.135
295000,2,2,0,Bungalow,52.094276,1.319004,12.893
289950,3,1,1,Detached,52.09305,1.305961,12.017
289950,1,1,0,Flat,52.09774,1.323774,13.341
285000,3,1,0,Bungalow,52.095432,1.303129,11.945
285000,3,1,1,Bungalow,52.09483,1.302515,11.88
280000,3,1,1,Detached,52.107533,1.457854,22.35
280000,3,1,0,Bungalow,52.161404,1.463627,25.044
280000,4,2,1,Detached,52.12741,1.415991,20.433
280000,3,1,1,Detached,52.107533,1.457854,22.35
275000,4,2,1,Terraced,52.130234,1.417288,20.645
275000,2,1,1,Bungalow,52.12459,1.522671,27.135
265000,2,1,1,Bungalow,52.09483,1.302515,11.88
262950,1,1,0,Flat,52.09774,1.323774,13.341
260000,2,1,1,Detached,52.09717,1.302352,11.979
260000,3,1,1,Bungalow,52.145756,1.448815,23.335
259950,3,2,1,Semi,52.100376,1.301582,12.088
257500,3,2,1,Detached,52.105064,1.317484,13.293
250000,3,1,0,Semi,52.095562,1.314515,12.664
250000,3,1,1,Semi,52.100338,1.309086,12.546
250000,3,1,1,Detached,52.096695,1.315519,12.776
245000,2,1,1,Bungalow,52.10698,1.338572,14.681
240000,4,1,0,Detached,52.129833,1.414262,20.439
240000,2,1,0,Bungalow,52.09424,1.310138,12.331
240000,2,1,0,Bungalow,52.095005,1.533276,27.052
235000,4,2,0,Detached,52.125774,1.409056,19.927
235000,2,1,0,Bungalow,52.095497,1.32003,13.009
